                   List of relations
 Schema |            Name            | Type  |  Owner  
--------+----------------------------+-------+---------
 public | access_tokens              | table | phoenix
 public | alembic_version            | table | phoenix
 public | api_keys                   | table | phoenix
 public | dataset_example_revisions  | table | phoenix
 public | dataset_examples           | table | phoenix
 public | dataset_versions           | table | phoenix
 public | datasets                   | table | phoenix
 public | document_annotations       | table | phoenix
 public | experiment_run_annotations | table | phoenix
 public | experiment_runs            | table | phoenix
 public | experiments                | table | phoenix
 public | password_reset_tokens      | table | phoenix
 public | project_sessions           | table | phoenix
 public | projects                   | table | phoenix
 public | prompt_labels              | table | phoenix
 public | prompt_version_tags        | table | phoenix
 public | prompt_versions            | table | phoenix
 public | prompts                    | table | phoenix
 public | prompts_prompt_labels      | table | phoenix
 public | refresh_tokens             | table | phoenix
 public | span_annotations           | table | phoenix
 public | spans                      | table | phoenix
 public | trace_annotations          | table | phoenix
 public | traces                     | table | phoenix
 public | user_roles                 | table | phoenix
 public | users                      | table | phoenix
(26 rows)

